web-scraper-order,web-scraper-start-url,book-rank,book-rank-href,book-page,book-page-href,book-link,book-link-href,Name,Author,Category,Price,Rate,Comment,Rating-number,Sold-number
1633927158-819,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=default,Thiên Quan Tứ Phúc - Tập 1 (Tặng Kèm 1 Bookmark 2 Mặt)Đã bán 1000+116.700 ₫-22%,https://tiki.vn/thien-quan-tu-phuc-tap-1-tang-kem-1-bookmark-2-mat-p56021251.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.56021251,Thiên Quan Tứ Phúc - Tập 1 (Tặng Kèm 1 Bookmark 2 Mặt),Mặc Hương Đồng Khứu,Sách văn học,116.700 ₫,,,(Xem 1129 đánh giá),Đã bán 1000+
1633927505-927,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=default,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ? (Tái Bản 2020)Đã bán 100123.000 ₫,https://tiki.vn/chien-tranh-tien-te-phan-1-ai-thuc-su-la-nguoi-giau-nhat-the-gioi-tai-ban-2020-p52664522.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.52664522,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ? (Tái Bản 2020),Song Hong Bing,Sách kinh tế,123.000 ₫,,,(Xem 23 đánh giá),Đã bán 100
1633927636-961,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=default,"Hack Não 1500 - sách tự học từ vựng theo chủ đề, đi kèm App dạy phát âm của người bản xứ và 4 buổi học Livestream mỗi tuần - tự tin đọc hiểu và giao tiếp tiếng Anh, luyện siêu trí nhớ sau 50 ngàyĐã bán 1000+425.000 ₫-14%",https://tiki.vn/hack-nao-1500-phien-ban-2020-p48504524.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.48504524,"Hack Não 1500 - sách tự học từ vựng theo chủ đề, đi kèm App dạy phát âm của người bản xứ và 4 buổi học Livestream mỗi tuần - tự tin đọc hiểu và giao tiếp tiếng Anh, luyện siêu trí nhớ sau 50 ngày",Nguyễn Văn Hiệp (Chủ biên),Sách Học Ngoại Ngữ,425.000 ₫,,,(Xem 1722 đánh giá),Đã bán 1000+
1633927590-945,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=default,21 Bài Học Cho Thế Kỷ 21Đã bán 202177.650 ₫,https://tiki.vn/21-bai-hoc-cho-the-ky-21-p35191892.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.35191892,21 Bài Học Cho Thế Kỷ 21,Yuval Noah Harari,Sách văn học,177.650 ₫,,,(Xem 35 đánh giá),Đã bán 202
1633927678-975,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,2,https://tiki.vn/sach-truyen-tieng-viet/c316?page=2&sort=default,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí TuệĐã bán 107127.200 ₫",https://tiki.vn/noi-chuyen-la-ban-nang-giu-mieng-la-tu-duong-im-lang-la-tri-tue-p71990280.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.71990280,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,Sách kỹ năng sống,127.200 ₫,,,(Xem 27 đánh giá),Đã bán 107
1633927223-839,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=default,Dấn Thân (Tái Bản)Đã bán 9195.200 ₫,https://tiki.vn/dan-than-tai-ban-p14684312.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.14684312,Dấn Thân (Tái Bản),"Sherryl Sandberg,",Sách kinh tế,95.200 ₫,,,(Xem 22 đánh giá),Đã bán 91
1633927260-852,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=default,Không Giới Hạn - Khám Phá HO'OPONOPONOĐã bán 1000+126.200 ₫-15%,https://tiki.vn/khong-gioi-han-kham-pha-ho-oponopono-p47342678.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.47342678,Không Giới Hạn - Khám Phá HO'OPONOPONO,"Joe Vitale,",Sách kỹ năng sống,126.200 ₫,,,(Xem 1192 đánh giá),Đã bán 1000+
1633927218-837,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=default,Kỹ Thuật Giao Dịch Để Kiếm Tiền Hàng Ngày Trên Thị Trường Chứng Khoán – Day Trade For A LivingĐã bán 1000+298.000 ₫,https://tiki.vn/ky-thuat-giao-dich-de-kiem-tien-hang-ngay-tren-thi-truong-chung-khoan-day-trade-for-a-living-p39228816.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.39228816,Kỹ Thuật Giao Dịch Để Kiếm Tiền Hàng Ngày Trên Thị Trường Chứng Khoán – Day Trade For A Living,Andrew Aziz,Sách kinh tế,298.000 ₫,,,(Xem 672 đánh giá),Đã bán 1000+
1633927121-806,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=default,Combo 3 Cuốn Sách Ehon: Buồn Ngủ Ơi Là Buồn Ngủ (Dành Cho Trẻ Từ 0 - 4 Tuổi)Đã bán 85887.750 ₫-25%,https://tiki.vn/combo-3-cuon-sach-ehon-buon-ngu-oi-la-buon-ngu-danh-cho-tre-tu-0-4-tuoi-p75615273.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.75615273,Combo 3 Cuốn Sách Ehon: Buồn Ngủ Ơi Là Buồn Ngủ (Dành Cho Trẻ Từ 0 - 4 Tuổi),Fuku Mitsu,Sách thiếu nhi,87.750 ₫,,,(Xem 197 đánh giá),Đã bán 858
1633927332-878,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Phổ biến,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=default,4,https://tiki.vn/sach-truyen-tieng-viet/c316?page=4&sort=default,Người Bà Tài Giỏi Vùng Saga - Tập 4 (Tặng Kèm: 1 Postcard)Đã bán 5352.000 ₫,https://tiki.vn/nguoi-ba-tai-gioi-vung-saga-tap-4-tang-kem-1-postcard-p112368144.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.112368144,Người Bà Tài Giỏi Vùng Saga - Tập 4 (Tặng Kèm: 1 Postcard),"Yoshichi Shimada,",Sách văn học,52.000 ₫,,,(Xem 10 đánh giá),Đã bán 53
