,PID,book-rank,book-link-href,Name,Author,Category,Price,Rating-number,Sold-number
0,56021251,Phổ biến,https://tiki.vn/thien-quan-tu-phuc-tap-1-tang-kem-1-bookmark-2-mat-p56021251.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.56021251,Thiên Quan Tứ Phúc - Tập 1 (Tặng Kèm 1 Bookmark 2 Mặt),Mặc Hương Đồng Khứu,Sách văn học,116700.0,1129.0,1000.0
1,52664522,Phổ biến,https://tiki.vn/chien-tranh-tien-te-phan-1-ai-thuc-su-la-nguoi-giau-nhat-the-gioi-tai-ban-2020-p52664522.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.52664522,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ? (Tái Bản 2020),Song Hong Bing,Sách kinh tế,123000.0,23.0,100.0
2,48504524,Phổ biến,https://tiki.vn/hack-nao-1500-phien-ban-2020-p48504524.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.48504524,"Hack Não 1500 - sách tự học từ vựng theo chủ đề, đi kèm App dạy phát âm của người bản xứ và 4 buổi học Livestream mỗi tuần - tự tin đọc hiểu và giao tiếp tiếng Anh, luyện siêu trí nhớ sau 50 ngày",Nguyễn Văn Hiệp (Chủ biên),Sách Học Ngoại Ngữ,425000.0,1722.0,1000.0
3,35191892,Phổ biến,https://tiki.vn/21-bai-hoc-cho-the-ky-21-p35191892.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.35191892,21 Bài Học Cho Thế Kỷ 21,Yuval Noah Harari,Sách văn học,177650.0,35.0,202.0
4,71990280,Phổ biến,https://tiki.vn/noi-chuyen-la-ban-nang-giu-mieng-la-tu-duong-im-lang-la-tri-tue-p71990280.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.71990280,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,Sách kỹ năng sống,127200.0,27.0,107.0
5,14684312,Phổ biến,https://tiki.vn/dan-than-tai-ban-p14684312.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.14684312,Dấn Thân (Tái Bản),"Sherryl Sandberg,",Sách kinh tế,95200.0,22.0,91.0
6,47342678,Phổ biến,https://tiki.vn/khong-gioi-han-kham-pha-ho-oponopono-p47342678.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.47342678,Không Giới Hạn - Khám Phá HO'OPONOPONO,"Joe Vitale,",Sách kỹ năng sống,126200.0,1192.0,1000.0
7,39228816,Phổ biến,https://tiki.vn/ky-thuat-giao-dich-de-kiem-tien-hang-ngay-tren-thi-truong-chung-khoan-day-trade-for-a-living-p39228816.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.39228816,Kỹ Thuật Giao Dịch Để Kiếm Tiền Hàng Ngày Trên Thị Trường Chứng Khoán – Day Trade For A Living,Andrew Aziz,Sách kinh tế,298000.0,672.0,1000.0
8,75615273,Phổ biến,https://tiki.vn/combo-3-cuon-sach-ehon-buon-ngu-oi-la-buon-ngu-danh-cho-tre-tu-0-4-tuoi-p75615273.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.75615273,Combo 3 Cuốn Sách Ehon: Buồn Ngủ Ơi Là Buồn Ngủ (Dành Cho Trẻ Từ 0 - 4 Tuổi),Fuku Mitsu,Sách thiếu nhi,87750.0,197.0,858.0
9,112368144,Phổ biến,https://tiki.vn/nguoi-ba-tai-gioi-vung-saga-tap-4-tang-kem-1-postcard-p112368144.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.112368144,Người Bà Tài Giỏi Vùng Saga - Tập 4 (Tặng Kèm: 1 Postcard),"Yoshichi Shimada,",Sách văn học,52000.0,10.0,53.0
